Date,.RUA,ACWX.O,AGG
2008-02-08,772.0024,,102.75
2008-02-11,776.4297,,102.97
2008-02-12,781.5842,,102.93
2008-02-13,792.7322,,102.32
2008-02-14,781.5807,,102.0
2008-02-15,781.6667,,101.95
2008-02-19,781.2585,,101.46
2008-02-20,788.028,,101.3
2008-02-21,777.5506,,102.13
2008-02-22,782.9952,,101.59
2008-02-25,794.7666,,101.23
2008-02-26,800.5161,,101.72
2008-02-27,799.2999,,101.9299
2008-02-28,791.7524,,102.54
2008-02-29,770.4487,,102.93
2008-03-03,770.647,,102.53
2008-03-04,767.6585,,102.09
2008-03-05,771.8402,,101.44
2008-03-06,753.9279,,101.29
2008-03-07,747.5761,,101.6
2008-03-10,734.7224,,102.14
2008-03-11,762.1053,,101.52
2008-03-12,755.5725,,102.56
2008-03-13,760.7026,,102.12
2008-03-14,744.8293,,102.55
2008-03-17,736.1473,,102.99
2008-03-18,767.3106,,102.75
2008-03-19,748.551,,103.06
2008-03-20,766.0361,,103.42
2008-03-24,779.2372,,102.66
2008-03-25,782.0733,,102.85
2008-03-26,775.6649,,102.55
2008-03-27,766.5841,,102.59
2008-03-28,760.1362,,102.84
2008-03-31,764.6326,50.29,102.68
2008-04-01,791.4724,51.36,101.57
2008-04-02,790.6774,51.86,101.62
2008-04-03,792.1285,52.32,101.6
2008-04-04,793.063,52.45,102.46
2008-04-07,794.2142,52.71,102.448
2008-04-08,790.8242,52.46,102.444
2008-04-09,783.2424,52.28,102.89
2008-04-10,787.6861,51.98,102.57
2008-04-11,771.357,51.48,102.79
2008-04-14,768.9055,51.14,102.67
2008-04-15,772.6194,51.65,102.12
2008-04-16,790.9337,53.11,101.75
2008-04-17,790.5637,53.05,101.73
2008-04-18,804.564,53.51,102.0
2008-04-21,803.2579,53.95,102.013
2008-04-22,795.3574,53.37,102.16
2008-04-23,797.7454,53.66,102.06
2008-04-24,803.2398,53.67,101.68
2008-04-25,808.8704,53.55,101.58
2008-04-28,808.5778,54.56,101.83
2008-04-29,804.8442,53.61,101.98
2008-04-30,802.024,54.44,102.6
2008-05-01,815.4573,53.84,102.1
2008-05-02,817.5234,54.16,101.93
2008-05-05,814.4714,54.604,101.97
2008-05-06,820.7728,55.02,101.64
2008-05-07,806.5041,54.15,101.93
